id,title,runningTimeInMinutes,releaseDate,certificate,rating,ratingcount,text
tt10872600,Spider-Man: No Way Home,148,2021-12-17,PG-13,8.2,860175,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
tt1630029,Avatar: The Way of Water,192,2022-12-16,PG-13,7.6,480517,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home."
tt1630029,Avatar: The Way of Water,192,2022-12-16,PG-13,7.6,480517,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home."
tt0167260,The Lord of the Rings: The Return of the King,201,2003-12-17,PG-13,9.0,1953432,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
tt15326988,Ghosted,116,2023-04-21,PG-13,5.8,59366,"Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world."
tt0116629,Independence Day,145,1996-07-03,PG-13,7.0,600777,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive."
tt29195117,Justice League: Crisis on Infinite Earths - Part One,93,2024-01-09,PG-13,6.3,2435,"The Anti-Monitor (the Monitor's evil counterpart) is released in the DC Multiverse and begins to destroy the different Earths that compose it. The Monitor attempts to recruit heroes from across the Multiverse, but is murdered."
tt0088763,Back to the Future,116,1985-07-03,PG,8.5,1289681,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
tt0109198,Bad Girls,99,1994-04-22,R,5.2,13424,Four prostitutes join together to travel the Old West.
tt0109198,Bad Girls,99,1994-04-22,R,5.2,13424,Four prostitutes join together to travel the Old West.
tt0107290,Jurassic Park,127,1993-06-11,PG-13,8.2,1053944,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
tt1663202,The Revenant,156,2016-01-08,R,8.0,862224,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
tt1446714,Prometheus,124,2012-06-08,R,7.0,638482,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
tt0093779,The Princess Bride,98,1987-10-09,PG,8.0,446959,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,143,2003-07-09,PG-13,8.1,1195578,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
tt0245429,Spirited Away,125,2003-03-28,PG,8.6,833870,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
tt6334354,The Suicide Squad,132,2021-08-05,R,7.2,400709,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese."
tt4154796,Avengers: Endgame,181,2019-04-26,PG-13,8.4,1244714,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
tt4154796,Avengers: Endgame,181,2019-04-26,PG-13,8.4,1244714,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
tt19500164,Nimona,101,2023-06-30,PG,7.5,39121,"When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy."
